Material ID,BUn,AUn,Counter,Denom.
104459,EA,CH,1,1
117126,EA,KIT,1,1
382515,EA,PAC,25,1
399044,EA,PAC,20,1
421662,EA,FT,1,6
466991,EA,PAC,1,1
554540,EA,KIT,1,1
722226,EA,PAC,100,1
762121,EA,CV,72,1
762121,EA,CAN,1,1
793269,FT,EA,1,1
819060,EA,SET,1,1
828454,FT,EA,1,1
829182,EA,SET,1,1
901342,EA,PR,1,1
904231,EA,PAC,6,1
904981,EA,BX,25,1
908287,EA,PAC,10,1
916114,EA,FT,1,20
940529,EA,PAC,25,1
948815,EA,PAC,20,1
957117,EA,PAC,8,1
967466,EA,PAC,25,1
1009944,EA,CAN,1,1
1022779,EA,CAN,1,1
1026897,EA,PAC,1,1
10007861,EA,PAC,1,1
10007862,EA,PAC,6,1
10007939,EA,PAC,2,1
10008038,EA,PAC,1,1
10008122,EA,PAC,1,10
10008175,EA,PAC,2,1
10018984,EA,CAN,1,1
10024457,EA,PAC,100,1
10030625,EA,BX,1,1
10030863,EA,PAC,1,1
10031191,EA,PAC,100,1
10031193,EA,BX,1,1
10031210,EA,BTL,12,1
10031227,EA,PAC,100,1
10031248,EA,LN,1,1
10031255,EA,LN,1,1
10032501,EA,PAC,1,1
10032502,EA,PAC,10,1
10034207,EA,PAC,1,1
10036467,EA,M,1,1
10057280,EA,FT,1,1
10060098,EA,LN,1,1
10060335,EA,PAC,1,6
10060897,EA,M,1,1
10062842,EA,PAC,30,1
10063943,EA,PAC,1,1
10071741,EA,BX,1,1
10071864,EA,PAC,1,1
10071879,EA,PAC,1,1
10071880,EA,PAC,1,1
10099666,EA,PAC,1,1
10099667,EA,PAC,1,1
10127002,EA,PAC,8,1
10138426,EA,BX,30,1
10138566,EA,PAC,4,1
10164486,EA,PAC,4,1
10164498,EA,PAC,4,1
10164502,EA,PAC,14,1
10164798,EA,PAC,25,1
10177788,EA,PAC,10,1
10184201,EA,M,1,1
10190569,EA,PAC,16,1
10191264,EA,TK,1,1
10865993,EA,LN,1,1
10871806,EA,BX,1,1
10877180,EA,PAC,1,1
10877213,EA,PAC,100,1
10877377,EA,PAC,1,1
10877400,EA,ROL,1,1
10877429,EA,M,1,1
10878279,EA,PAC,25,1
10878308,EA,PAC,1,1
10878311,EA,PAC,1,1
10878356,EA,RE,1,1
10878385,EA,BX,500,1
10878450,EA,PAC,100,1
11017950,EA,BX,25,1
11020923,EA,BX,50,1
11021854,EA,BX,50,10
11024165,EA,M,1,1
11024835,EA,PAC,25,1
11024848,EA,PAC,25,1
11024874,EA,PAC,12,1
11024893,EA,PAC,5,1
11024897,EA,PAC,2,1
11024913,EA,PAC,2,1
11024914,EA,PAC,2,1
11024917,EA,PAC,25,1
11024965,EA,PAC,2,1
11024969,EA,PAC,6,1
11025100,EA,SET,1,1
11025111,EA,KIT,1,1
11025128,EA,BX,1,1
11025135,EA,BX,25,1
11025141,EA,BX,1,1
11025147,EA,BX,1,1
11025158,EA,BX,12,1
11025190,EA,KIT,1,1
11025219,EA,BX,1,1
11025220,EA,BX,25,1
11025221,EA,BX,1,1
11025237,EA,PAC,18,1
11025292,EA,KIT,1,1
11025425,EA,FT,1,20
11025443,EA,PAC,15,1
11025444,EA,PAC,10,1
11025456,EA,PAC,4,1
11025460,EA,PAC,2,1
11025461,EA,PAC,2,1
11025497,EA,PAC,4,1
11025614,EA,PAC,1,1
11025617,EA,PAC,25,1
11025676,EA,PAC,10,1
11025677,EA,PAC,10,1
11025741,EA,PAC,5,1
11025742,EA,PAC,1,1
11025764,EA,PAC,8,1
11025765,EA,PAC,4,1
11025765,EA,PZ,4,1
11025870,EA,PAC,2,1
11026130,EA,PAC,1,1
11026198,EA,PAC,2,1
11026377,EA,KIT,1,1
11026530,EA,PAC,25,1
11026872,EA,PAC,25,1
11026873,EA,PAC,10,1
11026990,FT,M,1250,381
11027255,EA,PAC,2,1
11027714,EA,PAC,1,2
11027721,EA,PAC,14,1
11027834,EA,KIT,1,1
11027836,EA,BX,100,1
11027924,EA,PAC,12,1
11027933,EA,PAC,1,1
11028008,EA,CV,20,1
11028008,EA,CAN,20,1
11028719,EA,M,1,1
11028996,EA,PAC,1,1
11029033,EA,PAC,1,1
11029172,EA,M,1,1
11030819,EA,M,1,1
11030999,EA,PAC,25,1
11032704,EA,PAC,8,1
11033592,EA,M,1,1
11033933,EA,BX,12,1
11034040,JO,FT,1,12
11034307,EA,PAC,100,1
11036044,EA,BX,1,1
11036045,EA,PAC,1,1
11036083,EA,PAC,1,1
11036084,EA,PAC,1,1
11036884,EA,M,1,1
11037188,EA,PAC,4,1
11037188,EA,PZ,4,1
11037193,EA,PAC,2,1
11039684,EA,PAC,1,1
11042161,EA,CAN,1,1
11042175,EA,DR,1,1
11042177,EA,PAC,1,1
11042178,EA,PAC,4,1
11042179,EA,PAC,12,1
11042184,PAC,EA,2,1
11042187,EA,PAC,12,1
11042235,EA,PAC,10,1
11042260,EA,FT,1,1
11042261,FT,EA,1,1
11042708,EA,PAC,1,1
11042893,EA,PAC,4,1
11042898,EA,KIT,1,1
11043415,EA,PAC,4,1
11043523,EA,PAC,25,1
11043752,EA,PAC,36,1
11043967,EA,PAC,2,1
11043967,EA,PZ,2,1
11044356,EA,PAC,8,1
11044367,EA,PAC,25,1
11044410,EA,PAC,4,1
11044411,EA,PAC,24,1
11044593,EA,PAC,25,1
11044655,EA,PAC,25,1
11044661,EA,PAC,25,1
11044698,EA,PAC,4,1
11044882,EA,BX,1000,1
11044882,EA,PAC,10,1
11044882,EA,PZ,1000,1
11044883,EA,BX,1000,1
11044947,EA,PAC,1,1
11044994,EA,KIT,1,1
11045009,EA,PR,1,1
11045071,EA,FT,1,1
11045356,EA,PAC,8,1
11045359,EA,PAC,25,1
11045374,EA,PAC,4,1
11045391,EA,PAC,25,1
11045408,EA,PAC,36,1
11045409,EA,PAC,36,1
11045417,EA,PAC,1,1
11045439,EA,PAC,25,1
11045440,EA,PAC,12,1
11045555,EA,ROL,1,1
11045575,EA,PAC,1,1
11045618,EA,PAC,1,1
11045790,EA,KIT,1,1
11045814,EA,BX,1,1
11045823,EA,PAC,5,1
11045844,EA,PAC,1,1
11045876,EA,BX,1,1
11045877,EA,BX,1,1
11045878,EA,BX,1,1
11045885,EA,BX,25,1
11045886,EA,BX,1,1
11045887,EA,BX,1,1
11045893,EA,PAC,50,1
11045904,EA,PAC,4,1
11045909,EA,PAC,10,1
11046054,EA,PAC,8,1
11046144,EA,PAC,1,1
11046175,EA,PAC,1,10
11046202,EA,SET,1,1
11046211,EA,BX,10,1
11046256,EA,PAC,4,1
11046347,EA,PAC,1,1
11046653,EA,PAC,25,1
11046723,EA,FT,1,6
11046731,EA,PAC,12,1
11046786,EA,PAC,100,1
11046802,EA,PR,1,1
11046814,EA,PAC,25,1
11047099,EA,M,1,1
11047205,EA,SET,3,1
11047206,EA,SET,3,1
11047209,EA,SET,3,1
11047211,EA,SET,2,1
11047217,EA,DZ,12,1
11047218,EA,PAC,250,1
11047400,EA,PAI,1,1
11047400,EA,PLU,1,1
11047481,EA,PAC,6,1
11047485,EA,PAC,10,1
11047509,EA,PAC,4,1
11047580,EA,KIT,1,1
11047697,EA,PAC,2,1
11047701,EA,PAC,25,1
11047711,GAL,EA,20,1
11047711,GAL,PAI,5,1
11047715,EA,PAC,1,4
11047734,EA,PAC,4,1
11047824,EA,PAC,25,1
11047879,EA,PAC,4,1
11047889,EA,PAC,10,1
11047955,EA,PAC,4,1
11047956,EA,PAC,18,1
11048278,EA,PLU,1,1
11048281,EA,PAC,6,1
11048285,EA,PAC,1,1
11048757,EA,KIT,1,1
11048760,EA,PAC,12,1
11049718,EA,PAI,1,1
11049731,EA,PAC,1,1
11049862,EA,FT,1,1
11050752,EA,PAC,1,1
11050820,EA,PAC,100,1
11051839,EA,DR,1,1
11052475,EA,BX,24,1
11052476,EA,PAC,12,1
11053446,EA,PAC,25,1
11053454,EA,PAC,30,1
11053466,EA,PAC,14,1
11053515,EA,PAC,25,1
11053517,EA,PAC,6,1
11057853,EA,DR,1,1
11057853,EA,PAI,1,1
11059607,EA,PAC,100,1
11059629,EA,PAC,1,1
11059636,EA,PAC,1,1
11059679,EA,PAC,1,1
11059759,EA,PAC,10,1
11059761,EA,PAC,14,1
11060339,EA,ROL,1,1
11060914,EA,DR,1,1
11062200,EA,BX,1,1
11063023,EA,PAC,100,1
11064351,EA,PAC,100,1
11064375,JO,FT,1,1
11064394,JO,FT,1,1
