BP Material / Service Master No.,Supplier Part No. / Reference,BP Short Description,BP Long Description,Supplier Description,Manufacturer Name,Manufacturer Part Number,UOM,Last Price,Description,Price Valid From,Price Valid to,Incoterms Key,2021 rates
36120257,36120257,"OIL,INDUST:TURBINE,TURBO-K,20L CAN","OIL:TURBINE,TURBO-K,20L CAN","CASTROL TURBO-K,CAN OF 20L",,,EA,180.31,"['OIL', 'INDUST:TURBINE', 'TURBO-K', '20L', 'CAN']",11/20/2017,10/13/2021,,254.89
36011260,223446_337,"OIL:INDUST,DURATEC L,125 CST AT 40 DEG C","OIL: INDUSTRIAL,DURATEC L,125 CST AT 40 DEG C,208 L DRUM,AMBER,FLASH POINT: 250 DEG C,POUR POINT: -18 DEG C,VISCOSITY INDEX: 97","DURATEC L,DRUM,208L",CASTROL,15274B,EA,718.7,"['OIL:INDUST', 'DURATEC', 'L', '125', 'CST', 'AT', '40', 'DEG', 'C']",11/20/2017,10/13/2021,,916.56
36011258,36006925,"OIL:INDUST,ALPHA SP 320,320 CST AT 40 DE","OIL: INDUSTRIAL,ALPHA SP 320,320 CST AT 40 DEG C,20 L PAIL,AMBER,DENSITY: 900 KG/M3 AT 15 DEG C,FLASH POINT: 220 DEG C,FORM: LIQUID,  POUR POINT: -9 DEG C,VISCOSITY INDEX: GREATER THAN 95","ALPHA SP 320,CAN OF 20L",CASTROL,1443AB,EA,67.04,"['OIL:INDUST', 'ALPHA', 'SP', '320', '320', 'CST', 'AT', '40', 'DE']",11/20/2017,10/13/2021,,104.26
36011256,223446_338,"COOLANT,ENGINE:ANTIFREEZE,208L DRUM","COOLANT,ENGINE: ANTIFREEZE,208L DRUM","RADICOOL SF PREMIX,DRUM OF 208L",CASTROL,1715/208,EA,962.55,"['COOLANT', 'ENGINE:ANTIFREEZE', '208L', 'DRUM']",11/20/2017,10/13/2021,,1042.51
36011249,36006917,"OIL:HIGHLY REFINED,HYD,MINERAL,BRAYCO HV","OIL: HIGHLY REFINED,HYDRAULIC,MINERAL,BRAYCO HV 15,14 CST AT 40 DEG C/5.4 CST AT 100 DEG C,20 L PAIL,RED,DENSITY: 0.865 G/ML AT 20 D  EG C/870 KG/M3 AT 15 DEG C,FLASH POINT: 100 DEG C,FORM: LIQUID,GREATER THAN 350 VISCOSITY,POUR POINT: -70 DEG C","AERO HF 585B,CAN OF 20L",CASTROL,15B3C7,EA,138.08,"['OIL:HIGHLY', 'REFINED', 'HYD', 'MINERAL', 'BRAYCO', 'HV']",11/20/2017,10/13/2021,,245
36011248,36006915,"OIL:INDUST,OXIDATION RESISTANT,PERFECTO","OIL: INDUSTRIAL,OXIDATION RESISTANT,PERFECTO XPG 32,32 SQMM/SECOND AT 40 DEG C,ISO VG 32,208 L DRUM,FLASH POINT: 222 DEG F,W/ ANTI-W  EAR/ANTI-STATIC ADDITIVE","PERFECTO XPG 32,DRUM OF 208L",CASTROL,155EF8,EA,971.66,"['OIL:INDUST', 'OXIDATION', 'RESISTANT', 'PERFECTO']",11/20/2017,10/13/2021,,1122.85
36011247,36006914,"OIL:INDUST,MINERAL,PERFECTO X 68,68 SQMM","OIL: INDUSTRIAL,MINERAL,PERFECTO X 68,68 SQMM/SECOND AT 40 DEG C/8.6 SQMM/SECOND AT 100 DEG C,20 L PAIL,LIGHT YELLOW,DENSITY: 881 KG  /M3 AT 15 DEG C,FLASH POINT: 228 DEG C,FORM: LIQUID,POUR POINT: -12 DEG C,VISCOSITY INDEX: 102","PERFECTO T68,CAN OF 20L",CASTROL,157A0B,EA,58.86,"['OIL:INDUST', 'MINERAL', 'PERFECTO', 'X', '68', '68', 'SQMM']",11/20/2017,10/13/2021,,105.27
36011245,36006912,"OIL:DI-ESTER BASED SYNTHETIC LUBE,INDUST","OIL: DI-ESTER BASED SYNTHETIC LUBE,INDUSTRIAL,AIRCOL SN 100,20 L,AMBER,FLASH POINT: 252 DEG C,POUR POINT: -39 DEG C,VISCOSITY RATING  : 0.96 KG/L AT 15 DEG C,VISCOSITY INDEX: 89,0.96 G/ML @ 15 DEG C RELATIVE DENSITY,10.3 CST @ 100 DEG C VISCOSITY","OIL:COMPRESSOR,CASTROL AIRCOL SN 100,CAN",CASTROL,149EFD,EA,230.66,"['OIL:DI-ESTER', 'BASED', 'SYNTHETIC', 'LUBE', 'INDUST']",11/20/2017,10/13/2021,,399.91
36011243,36006910,"OIL:EXTREME PRESSURE,INDUST,MINERAL,ALPH","OIL: EXTREME PRESSURE,INDUSTRIAL,MINERAL,ALPHA SP 220,18.7 SQMM/SECOND AT 100 DEG C/220 SQMM/SECOND AT 40 DEG C,ISO VG 220,5 GAL BUC  KET,AMBER,LIGHT BROWN,DENSITY: 890 KG/M3 AT 15 DEG C,FLASH POINT: 225 DEG C,FORM: LIQUID,POUR POINT: -15 DEG C,VISCOSITY INDEX: GRE A TER THAN 95","ALPHA SP 220,CAN OF 20L",CASTROL,1443AA,EA,67.04,"['OIL:EXTREME', 'PRESSURE', 'INDUST', 'MINERAL', 'ALPH']",11/20/2017,10/13/2021,,104.26
36011237,36006905,"OIL:CIRCULATING,MAGNA 2,10 SQMM/SECOND A","OIL: CIRCULATING,MAGNA 2,10 SQMM/SECOND AT 40 DEG C,20 L CAN","MAGNA 2,CAN OF 20L",CASTROL,15521F,EA,77.82,"['OIL:CIRCULATING', 'MAGNA', '2', '10', 'SQMM/SECOND', 'A']",11/20/2017,10/13/2021,,114.9
36011054,36011054,"GREASE:HIGH TEMPERATURE GREASE,18 KG,VIS","GREASE: HIGH TEMPERATURE GREASE,18 KG,VIS,NLGI 2","HIGH TEMPRATURE GREASE,CAN OF 18KG",CASTROL,1503AA,EA,121.69,"['GREASE:HIGH', 'TEMPERATURE', 'GREASE', '18', 'KG', 'VIS']",11/20/2017,10/13/2021,,178.43
36011009,36011009,"OIL:INDUST,SYNTHETIC,ALPHASYN T 220,220","OIL: INDUSTRIAL,SYNTHETIC,ALPHASYN T 220,220 SQMM/SECOND AT 40 DEG C,20 L CAN,YELLOW,DENSITY: 0.87 KG/LT AT 20 DEG C,FLASH POINT: 27  7 DEG C,POUR POINT: -42 DEG C,VISCOSITY INDEX: 135","ALPHASYN T220,CAN OF 20L",CASTROL,1574A5,EA,265.5,"['OIL:INDUST', 'SYNTHETIC', 'ALPHASYN', 'T', '220', '220']",11/20/2017,10/13/2021,,333.13
36010988,36010988,"OIL,INDUST:POLYALKYLENE GLYCOL,ALPHASYN","OIL,INDUSTRIAL: POLYALKYLENE GLYCOL,ALPHASYN PG 150,ISO 150,20L CAN,28SQ MM/S AT 100DEG C VISCOSITY,225 VISCOSITY,210DEG C FLASH POI  NT,LIGHT YELLOW,-39DEG C,1.05G/ML AT 15DEG C,GEARBOX/SYNTHETIC,150SQ MM/S AT 40DEG C","ALPHASYN PG 150,CAN OF 20L",CASTROL,153DA3,EA,291.6,"['OIL', 'INDUST:POLYALKYLENE', 'GLYCOL', 'ALPHASYN']",11/20/2017,10/13/2021,,374.5
36010987,223446_332,"OIL,INDUST:ENGINE,20L PAIL,5W30 VISCOSIT","OIL,INDUSTRIAL: ENGINE,20L PAIL,5W30 VISCOSITY,164 VISCOSITY INDEX VISCOSITY,257DEG C FLASH POINT,-42DEG C POUR POINT","ENGINE OIL,ELIXION LOW SAPS 5W30",CASTROL,159CAA,EA,268.2,"['OIL', 'INDUST:ENGINE', '20L', 'PAIL', '5W30', 'VISCOSIT']",11/20/2017,10/13/2021,,284.53
36010974,223446_301,"OIL:INDUST,MINERAL,AIRCOL PD 100,100 CST","OIL: INDUSTRIAL,MINERAL,AIRCOL PD 100,100 CST AT 40 DEG C/11.4 CST AT 100 DEG C,20 L PAIL,YELLOW,DENSITY: 0.875 KG/L AT 20 DEG C,FLA  SH POINT: 243 DEG C,POUR POINT -12 DEG C,VISCOSITY INDEX: 100","OIL,COMPRESSOR,CASTROL AIRCOL PD 100",CASTROL,15AB5B,EA,77.4,"['OIL:INDUST', 'MINERAL', 'AIRCOL', 'PD', '100', '100', 'CST']",11/20/2017,10/13/2021,,103.23
36010912,36006659,"COOLANT:ANTIFREEZE,208L PREMIXED DRUM","COOLANT: ANTIFREEZE,208L PREMIXED DRUM","RADICOOL SF PREMIX,DRUM OF 208L",CASTROL,,EA,962.55,"['COOLANT:ANTIFREEZE', '208L', 'PREMIXED', 'DRUM']",11/20/2017,10/13/2021,,1191.11
11189634,223446_244,"FLUID:CNTRL,1000L,IBC","FLUID:CONTROL,1000L,IBC,WATER-BASED SUBSEA PRODUCTION,TRANSAQUA HT2","FLUID:CONTROL,1000L,IBC,WATER-BASED SUBSEA PRODUCTION,TRANSAQUA HT2",CASTROL,148C70-1000L,EA,8890,"['FLUID:CNTRL', '1000L', 'IBC']",11/20/2017,10/13/2021,,9801.23
11185904,11185904,"OIL:ULTRA COOLANT,ISO VG 46,208 L DRUM,S","OIL: ULTRA COOLANT,ISO VG 46,208 L DRUM,SSR","LUBRICANT:ULTRA COOLANT,208L DRUM,SSR,ISO VG 46",INGERSOLL-RAND,39433743,EA,5781,"['OIL:ULTRA', 'COOLANT', 'ISO', 'VG', '46', '208', 'L', 'DRUM', 'S']",11/20/2017,10/13/2021,,6648
11168704,223446_242,"OIL,INDUST:SYNTHETIC ENGINE,1L,5000 5W40","OIL,INDUSTRIAL: SYNTHETIC ENGINE,1L,5000 5W40 VISCOSITY,174 VISCOSITY,210DEG C FLASH POINT,CLEAR,-45DEG C POUR PT","OIL,INDUSTRIAL: SYNTHETIC ENGINE,1L,5000 5W40 VISCOSITY,174 VISCOSITY,210DEG C FLASH POINT,CLEAR,-45DEG C POUR PT",CASTROL,EDGE 5W-40,EA,56,"['OIL', 'INDUST:SYNTHETIC', 'ENGINE', '1L', '5000', '5W40']",11/20/2017,10/13/2021,,-1
