Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,index,Region,PO No.,PO Item No.,Incoterms,Incoterms Name,Material/Service No.,PO Item Description,Manufacturer Name,Vendor,Vendor Name,Manufacturer Part No.,PO Item Creation Date,PO Item Quantity,PO Item Quantity Unit,PO Item Unit Price,PO Item Value (GC),PO Item Value (GC) Unit,Product Category,Product Category Description,PO Status Name,PO Closed Status Name,PO Item Deletion Flag,Item Type Name,PO Type Name,Remaining PO Quantity,Long Description,Unit Price
603028.0,603412.0,603412.0,3513.0,AGT,4300477984.0,1.0,EXW,From plant,36046100.0,"BATTERY,STORAGE:SEALED LEAD ACID,12VDC,7",YUASA BATTERY,6051768.0,Munasib Senaye Techizat Ltd,NP7-12,27-07-15,8.0,EA,"GBP 11,11",137.8,USD,24110000.0,Containers/storage,Ordered,Closed,#,Material,Fastrack,0.0,"BATTERY: STORAGE,ABSORBENT GLASS MAT,12DCV,7AH AT 20HRA,65MM WD,151MM LG,97.5MM HT,4.75MM FASTON TAB TERMINAL,SEALED VALVE REGULATED LEAD ACID,TEMPERATURE RATING: -20 TO 60 DEG C",17.225
630517.0,630917.0,630917.0,39470.0,AGT,4300520701.0,1.0,EXW,From plant,36046100.0,"BATTERY,STORAGE:SEALED LEAD ACID,12VDC,7",YUASA BATTERY,6051889.0,R&M Electrical Group,NP7-12,17-09-15,8.0,EA,"GBP 9,27",113.88,USD,24110000.0,Containers/storage,Transaction Completed,Completed,#,Material,Gated,0.0,"BATTERY: STORAGE,ABSORBENT GLASS MAT,12DCV,7AH AT 20HRA,65MM WD,151MM LG,97.5MM HT,4.75MM FASTON TAB TERMINAL,SEALED VALVE REGULATED LEAD ACID,TEMPERATURE RATING: -20 TO 60 DEG C",14.235
630695.0,631095.0,631095.0,39693.0,AGT,4300521245.0,1.0,EXW,From plant,36046100.0,"BATTERY,STORAGE:SEALED LEAD ACID,12VDC,7",YUASA BATTERY,6051888.0,R&M Electrical Group,NP7-12,18-09-15,33.0,EA,"GBP 9,27",474.57,USD,24110000.0,Containers/storage,Transaction Completed,Completed,#,Material,Gated,0.0,"BATTERY: STORAGE,ABSORBENT GLASS MAT,12DCV,7AH AT 20HRA,65MM WD,151MM LG,97.5MM HT,4.75MM FASTON TAB TERMINAL,SEALED VALVE REGULATED LEAD ACID,TEMPERATURE RATING: -20 TO 60 DEG C",14.38090909
635633.0,636033.0,636033.0,46010.0,AGT,4300537715.0,1.0,DAT,DAT,36046100.0,"BATTERY,STORAGE:SEALED LEAD ACID,12VDC,7",YUASA BATTERY,6052075.0,TRANSTRANSIT LTD,NP7-12,22-10-15,2.0,EA,"GBP 243,05",751.54,USD,24110000.0,Containers/storage,Transaction Completed,Completed,#,Material,Gated,0.0,"BATTERY: STORAGE,ABSORBENT GLASS MAT,12DCV,7AH AT 20HRA,65MM WD,151MM LG,97.5MM HT,4.75MM FASTON TAB TERMINAL,SEALED VALVE REGULATED LEAD ACID,TEMPERATURE RATING: -20 TO 60 DEG C",375.77
646573.0,646973.0,646973.0,59701.0,AGT,4300566810.0,1.0,DAT,DAT,36046100.0,"BATTERY,STORAGE:SEALED LEAD ACID,12VDC,7",YUASA BATTERY,6052075.0,TRANSTRANSIT LTD,NP7-12,22-12-15,10.0,EA,"GBP 13,00",193.6,USD,24110000.0,Containers/storage,Transaction Completed,Completed,#,Material,Gated,0.0,"BATTERY: STORAGE,ABSORBENT GLASS MAT,12DCV,7AH AT 20HRA,65MM WD,151MM LG,97.5MM HT,4.75MM FASTON TAB TERMINAL,SEALED VALVE REGULATED LEAD ACID,TEMPERATURE RATING: -20 TO 60 DEG C",19.36
651527.0,651927.0,651927.0,66239.0,AGT,4300583932.0,1.0,EXW,From plant,36046100.0,"BATTERY,STORAGE:SEALED LEAD ACID,12VDC,7",YUASA BATTERY,6051888.0,R&M Electrical Group,NP7-12,02-02-16,11.0,EA,"GBP 9,12",142.32,USD,24110000.0,Containers/storage,Transaction Completed,Completed,#,Material,Fastrack,0.0,"BATTERY: STORAGE,ABSORBENT GLASS MAT,12DCV,7AH AT 20HRA,65MM WD,151MM LG,97.5MM HT,4.75MM FASTON TAB TERMINAL,SEALED VALVE REGULATED LEAD ACID,TEMPERATURE RATING: -20 TO 60 DEG C",12.93818182
660001.0,660403.0,660403.0,76589.0,AGT,4300612672.0,1.0,#,Not assigned,36046100.0,"BATTERY,STORAGE:SEALED LEAD ACID,12VDC,7",YUASA BATTERY,6051888.0,R&M Electrical Group,NP7-12,07-04-16,6.0,EA,"GBP 9,12",77.33,USD,24110000.0,Containers/storage,Transaction Completed,Completed,#,Material,Fastrack,0.0,"BATTERY: STORAGE,ABSORBENT GLASS MAT,12DCV,7AH AT 20HRA,65MM WD,151MM LG,97.5MM HT,4.75MM FASTON TAB TERMINAL,SEALED VALVE REGULATED LEAD ACID,TEMPERATURE RATING: -20 TO 60 DEG C",12.88833333
660009.0,660411.0,660411.0,76600.0,AGT,4300612680.0,2.0,EXW,From plant,36046100.0,"BATTERY,STORAGE:SEALED LEAD ACID,12VDC,7",YUASA BATTERY,6051888.0,R&M Electrical Group,NP7-12,07-04-16,1.0,EA,"GBP 9,12",12.89,USD,24110000.0,Containers/storage,Transaction Completed,Completed,#,Material,Fastrack,0.0,"BATTERY: STORAGE,ABSORBENT GLASS MAT,12DCV,7AH AT 20HRA,65MM WD,151MM LG,97.5MM HT,4.75MM FASTON TAB TERMINAL,SEALED VALVE REGULATED LEAD ACID,TEMPERATURE RATING: -20 TO 60 DEG C",12.89
660198.0,660600.0,660600.0,76821.0,AGT,4300613102.0,1.0,#,Not assigned,36046100.0,"BATTERY,STORAGE:SEALED LEAD ACID,12VDC,7",YUASA BATTERY,6051888.0,R&M Electrical Group,NP7-12,08-04-16,4.0,EA,"GBP 9,12",51.39,USD,24110000.0,Containers/storage,Transaction Completed,Completed,#,Material,Fastrack,0.0,"BATTERY: STORAGE,ABSORBENT GLASS MAT,12DCV,7AH AT 20HRA,65MM WD,151MM LG,97.5MM HT,4.75MM FASTON TAB TERMINAL,SEALED VALVE REGULATED LEAD ACID,TEMPERATURE RATING: -20 TO 60 DEG C",12.8475
663199.0,663608.0,663608.0,80448.0,AGT,4300622231.0,1.0,EXW,From plant,36046100.0,"BATTERY,STORAGE:SEALED LEAD ACID,12VDC,7",YUASA BATTERY,6051888.0,R&M Electrical Group,NP7-12,30-04-16,13.0,EA,"GBP 9,12",172.75,USD,24110000.0,Containers/storage,Transaction Completed,Completed,#,Material,Fastrack,0.0,"BATTERY: STORAGE,ABSORBENT GLASS MAT,12DCV,7AH AT 20HRA,65MM WD,151MM LG,97.5MM HT,4.75MM FASTON TAB TERMINAL,SEALED VALVE REGULATED LEAD ACID,TEMPERATURE RATING: -20 TO 60 DEG C",13.28846154
