,Material/Service No.,PO Item Description,Manufacturer Name,Manufacturer Part No.,Increase percentage,From Pricebook
253,11079018 (1112342-11201),"DRIVE,AC MOTOR:VARIABLE FREQUENCY,200HP",SOLAR,1112342-11201,10.0,NO
179,36023921 (947967C1),"FILTER,AIR:",SOLAR TURBINES,947967C1,4.0,NO
435,36023959 (1053834-12),"SFTWR:BIOS,TITAN,TYPE 130S",SOLAR TURBINES,1053834-12,27.0,NO
504,11025779 (908601C1),"PLATE,ORIFICE:0.02IN,JET LINE MOUNT",SOLAR TURBINES,908601C1,1.0,NO
345,36500880793 (1089827),"FLTR,ELMNT:AIR,FBRGLASS,PLEATED",SOLAR TURBINES,1089827,2.0,NO
251,36023869 (998135C1),"ELMNT,FILTER:FINAL,HIGH EFFICIENCY",SOLAR TURBINES,998135C1,4.0,NO
227,11079009 (1112342-1201),"DRIVE,AC MTR:VARIABLE FREQUENCY,50HP,380",SOLAR,1112342-1201,7.0,NO
509,11042217 (1030794-12),"VALVE,CHK:3/8IN,2PSIG",SOLAR TURBINES,1030794-12,0.0,NO
333,10051540 (1039742),"ELMNT,FILTER:PREFILTER,AIR",SOLAR TURBINES,1039742,4.0,NO
201,36024363 (300589-703),TORCH,SOLAR TURBINES,300589-703,4.0,NO
202,11163204 (120337-25),"REGULATOR:TEMP,120DEG F,4IN",SOLAR TURBINES,120337-25,0.0,NO
421,11047501 (1025945),"HOSE,ASSY:3IN ID,46.6IN LG,SOLAR TURBINE",CATERPILLAR,1025945,0.0,NO
498,10007939 (903316C1),"PLUG,SPARK:23.8MM DIA,MATERIAL: CARBON S",SOLAR TURBINES,903316C1,6.0,NO
417,11046758 (961017C1),"HOSE,ASSY:DISCHARGE,FLEXIBLE LOOP,3/4IN",CATERPILLAR,961017C1,1.0,NO
252,11024900 (917560C2),EXCITER:IGNITION,SOLAR TURBINES,917560C2,7.0,NO
323,10174305 (1078159-1),"GSKT:23.35IN ID,30.48IN OD,NON ROUND,VIT",SOLAR TURBINES,1078159-1,1.0,NO
58,11114229 (120835-16),VALVE:F/ GAS INLET,SOLAR TURBINES,120835-16,0.0,NO
3,11165868 (1060184),"CABLE,COAXIAL:TYPE RG6/U,ARMOURED SHIELD",SOLAR TURBINES,1060184,0.0,NO
136,36024600 (970287C1),"REGULATOR,PRESSURE:",SOLAR TURBINES,970287C1,1.0,NO
486,36024370 (993359C1),O-RNG:RBR,SOLAR TURBINES,993359C1,2.0,NO
446,36500615239 (1036679-10),"SWTCH,PRESSURE/VACUUM:DIFF,0 TO 45IN WC",SOLAR TURBINES,1036679-10,3.0,NO
62,D (126),"OFFSHORE INSTRUMENTATION CABLE 1X3X1,5 S",Not Assigned,#,9.0,NO
335,11028055 (1087491-3),"FLTR,ELMNT:CYLDCL,AIR/FUEL GAS",SOLAR TURBINES,1087491-3,2.0,NO
166,D (75),300538-1 SAFETY BLANKET ( COLLECTOR SEC),Not Assigned,#,9.0,NO
350,11025443 (903732C1),"O-RNG:2-225,1-7/8IN,1/8IN,1.859IN,0.139I",SOLAR TURBINES,903732C1,9.0,NO
198,36024601 (970288C1),"GAUGE,PRES:0 TO 160PSIG",SOLAR TURBINES,970288C1,1.0,NO
340,11025461 (172439-2),PKNG:BLEED AIR,SOLAR TURBINES,172439-2,3.0,NO
222,36500271167 (903316C1),"PLUG,SPARK",SOLAR TURBINES,903316C1,37.0,NO
84,11046655 (917252C1),"SEALANT:RTV ADHESIVE/SILICONE,PASTE,RED",SOLAR TURBINES,917252C1,8.0,NO
334,36500878654 (600277C1),"GSKT:STRAINER,PTFE",SOLAR TURBINES,600277C1,0.0,NO
188,11024872 (1017897),"GASKET,SPWD:4IN PIPE,CLASS 150,304 STAIN",SOLAR TURBINES,1017897,4.0,NO
142,11026198 (963859C1),"GASKET,SPWD:3IN PIPE,CLASS 600,NON-ASB,F",SOLAR TURBINES,963859C1,4.0,NO
354,11042708 (950007C1),"WASHER,LOCK:SPLT,5/16IN,SS,GR 304,25/PAC",SOLAR TURBINES,950007C1,32.0,NO
300,11047956 (912053C1),"O-RNG:2-133,1-13/16IN,3/32IN,1.799IN,0.1",SOLAR TURBINES,912053C1,1.0,NO
18,D (116),"PIN,DIAMOND,0.75 IN DIA X",Not Assigned,#,71.0,NO
57,11173089 (1055079-100),"LOCK,PAD:ENCL DOOR,KEY",SOLAR TURBINES,1055079-100,2.0,NO
