,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,index,Region,PO No.,PO Item No.,Incoterms,Incoterms Name,Material/Service No.,PO Item Description,Manufacturer Name,Vendor,Vendor Name,Manufacturer Part No.,PO Item Creation Date,PO Item Quantity,PO Item Quantity Unit,PO Item Unit Price,PO Item Value (GC),PO Item Value (GC) Unit,Product Category,Product Category Description,PO Status Name,PO Closed Status Name,PO Item Deletion Flag,Item Type Name,PO Type Name,Remaining PO Quantity,Long Description,Unit Price,Converted Price,UoM_label,Label
0,848,778015,779704,779704,226838,AGT,4300965813,1,FCA,Free Carrier,11026600 (304649-100),"GASKET:BLEED AIR VENT,2-13/16 ID X 5-5/8",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,304649-100,2018-07-25,2.0,EA,"USD 23,85",47.7,USD,31181500,Gaskets,Transaction Completed,Completed,#,Material,Gated,0.0,"GASKET: 2-53/64IN ID,5-5/8IN OD,0.078IN THK,ROUND,NON-ASBESTOS",23.85,23.85,0,0.0
1,1019,809155,811130,811130,263740,AGT,4301058081,3,FCA,Free Carrier,11026600 (304649-100),"GASKET:2.82 ID X 5.63IN OD,0.078IN THK",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,304649-100,2019-03-28,2.0,EA,"USD 26,50",53.0,USD,31181500,Gaskets,Transaction Completed,Completed,#,Material,Fastrack,0.0,"GASKET: 2-53/64IN ID,5-5/8IN OD,0.078IN THK,ROUND,NON-ASBESTOS",26.5,26.5,0,1.0
2,1044,811822,813801,813801,267017,AGT,4301063416,2,FCA,Free Carrier,11026600 (304649-100),"GASKET:0.078IN,NON-ASB,2.82 ID X 5.63IN",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,304649-100,2019-11-04,68.0,EA,"USD 26,50",1802.0,USD,31181500,Gaskets,Ordered,Open,#,Material,Fastrack,0.0,"GASKET: 2-53/64IN ID,5-5/8IN OD,0.078IN THK,ROUND,NON-ASBESTOS",26.5,26.5,0,1.0
3,1220,837715,840082,840082,298550,AGT,4301132342,1,FCA,Free Carrier,11026600 (304649-100),"GSKT:2-53/64IN ID,5-5/8IN OD,0.078IN THK",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,304649-100,2019-10-22,2.0,EA,"USD 23,36",46.72,USD,31181500,Gaskets,Transaction Completed,Completed,#,Material,Gated,0.0,"GASKET: 2-53/64IN ID,5-5/8IN OD,0.078IN THK,ROUND,NON-ASBESTOS",23.36,23.36,0,0.0
4,1221,837736,840103,840103,298571,AGT,4301132345,1,FCA,Free Carrier,11026600 (304649-100),"GSKT:2-53/64IN ID,5-5/8IN OD,0.078IN THK",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,304649-100,2019-10-22,8.0,EA,"USD 23,36",186.88,USD,31181500,Gaskets,Transaction Completed,Completed,#,Material,Gated,0.0,"GASKET: 2-53/64IN ID,5-5/8IN OD,0.078IN THK,ROUND,NON-ASBESTOS",23.36,23.36,0,0.0
5,1273,845579,848067,848067,307717,AGT,4301150311,1,FCA,Free Carrier,11026600 (304649-100),"GSKT:2-53/64IN ID,5-5/8IN OD,0.078IN THK",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,304649-100,2019-12-19,33.0,EA,"USD 23,36",770.88,USD,31181500,Gaskets,Transaction Completed,Completed,#,Material,Gated,0.0,"GASKET: 2-53/64IN ID,5-5/8IN OD,0.078IN THK,ROUND,NON-ASBESTOS",23.36,23.36,0,0.0
6,1308,851150,853687,853687,314209,AGT,4301166748,1,FCA,Free Carrier,11026600 (304649-100),"GSKT:2-53/64IN ID,5-5/8IN OD,0.078IN THK",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,304649-100,2020-12-02,2.0,EA,"USD 23,36",46.72,USD,31181500,Gaskets,Transaction Completed,Completed,#,Material,Gated,0.0,"GASKET: 2-53/64IN ID,5-5/8IN OD,0.078IN THK,ROUND,NON-ASBESTOS",23.36,23.36,0,0.0
7,1309,851151,853688,853688,314210,AGT,4301166748,2,FCA,Free Carrier,11026600 (304649-100),"GSKT:2-53/64IN ID,5-5/8IN OD,0.078IN THK",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,304649-100,2020-02-26,2.0,EA,"USD 23,36",46.72,USD,31181500,Gaskets,Transaction Completed,Completed,#,Material,Gated,0.0,"GASKET: 2-53/64IN ID,5-5/8IN OD,0.078IN THK,ROUND,NON-ASBESTOS",23.36,23.36,0,0.0
8,1350,855722,858282,858282,319632,AGT,4301178883,2,FCA,Free Carrier,11026600 (304649-100),"GSKT:2-53/64IN ID,5-5/8IN OD,0.078IN THK",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,304649-100,2020-03-20,2.0,EA,"USD 24,24",48.48,USD,31181500,Gaskets,Ordered,Closed,#,Material,Gated,0.0,"GASKET: 2-53/64IN ID,5-5/8IN OD,0.078IN THK,ROUND,NON-ASBESTOS",24.24,24.24,0,0.0
9,1378,858307,860869,860869,322786,AGT,4301187432,7,FCA,Free Carrier,11026600 (304649-100),"GSKT:2-53/64IN ID,5-5/8IN OD,0.078IN THK",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,304649-100,2020-04-23,2.0,EA,"USD 23,36",46.72,USD,31181500,Gaskets,Ordered,Open,#,Material,Gated,0.0,"GASKET: 2-53/64IN ID,5-5/8IN OD,0.078IN THK,ROUND,NON-ASBESTOS",23.36,23.36,0,0.0
10,1380,858309,860871,860871,322788,AGT,4301187432,9,FCA,Free Carrier,11026600 (304649-100),"GSKT:2-53/64IN ID,5-5/8IN OD,0.078IN THK",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,304649-100,2020-04-23,4.0,EA,"USD 23,36",93.44,USD,31181500,Gaskets,Ordered,Open,#,Material,Gated,0.0,"GASKET: 2-53/64IN ID,5-5/8IN OD,0.078IN THK,ROUND,NON-ASBESTOS",23.36,23.36,0,0.0
11,1506,865675,868395,868395,331454,AGT,4301208171,1,FCA,Free Carrier,11026600 (304649-100),"GSKT:2-53/64IN ID,5-5/8IN OD,0.078IN THK",SOLAR TURBINES,6015999,SOLAR TURBINES EUROPE SA,304649-100,2020-07-27,2.0,EA,"USD 23,36",46.72,USD,31181500,Gaskets,Ordered,Closed,#,Material,Gated,0.0,"GASKET: 2-53/64IN ID,5-5/8IN OD,0.078IN THK,ROUND,NON-ASBESTOS",23.36,23.36,0,0.0
