Action,Supplier Part No. / Reference,"BP Material / 
Service Master No.","Part Number 
Extension",Product Type,UOM,BP Short Description,BP Long Description,Supplier Description,Manufacturer Name,Manufacturer Part Number,Alternate Manufacturer Name,"Estimated Purchase 
Quantity
",2021 rates,2020 rates,Delta Price, Delta Price %,FILE SENT TO ELMIRA 2021 rates,APR 2021 PB,2021 Chris,,PN 80%,Desc 80%,MnF PN ,Price Unit,Range Price - Min,Range Price - Max,SLA_Leadtime,Incoterms Key,Incoterms Location,Incoterms Location Country,UNSPSC Code,Delivery Tolerance - Under %,Delivery Tolerance - Over %,Price Valid From,Price Valid to,Scale Pricing Quantity ,Minimum  Order Quantity,Maximum Order Quantity ,Lot Size,Internal Part Number,Export Control Status,Export Control No.,Plant Code,NCM Code,Material Origin,Material Usage,Internal ID,UNSPSC Code Description,Sub-Category,Category,1325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FCA,,,,,,,,,,,,,,,,,,,,,,,
Change,8,,,Service,EA,"TRAINER,PER DIEM","EXPENSE,PER DIEM:TRAINER","LABOR,FIELD SERVICE:TRAINER,PER DIEM",,,,,314,325,-11,-3.50%,314,325,,,,,,1,,,,FCA,,,71000000,,,20200401,20220131,1,,,,,,,,,,,44100195539,#REF!,#REF!,#REF!,1
Change,9,,,Service,EA,"EXPENSE,TRAVELING:MOB/DEMOB","EXPENSE,TRAVELING:MOBILIZATION/DEMOBILIZATION,TRAINER,WITHIN EUROPE BY AIR","EXPENSE,TRAINING:TRAINER MOBILIZATION/DEMOBILIZATION,WITHIN EUROPE BY AIR",,,,,2796,2655,141,5.04%,2796,2655,,,,,,1,,,,FCA,,,86000000,,,20200401,20220131,1,,,,,,,,,,,4.41E+11,#REF!,#REF!,#REF!,1
Change,10,,,Service,EA,"EXPENSE,TRAVELING:MOB/DEMOB","EXPENSE,TRAVELING:MOBILIZATION/DEMOBILIZATION,TRAINER,OUTSIDE EUROPE BY AIR","EXPENSE,TRAVELING:MOBILIZATION/DEMOBILIZATION,TRAINER,OUTSIDE EUROPE BY AIR",,,,,8635,8635,0,0.00%,8635,8635,,,,,,1,,,,FCA,,,90000000,,,20190531,20210131,1,,,,,,,,,,,4.41E+11,#REF!,#REF!,#REF!,1
Change,26,,,Service,DAY,"EXPENSE:ACCOMMODATION,MEALS,LOCAL TRANSP","EXPENSE:ACCOMMODATION,MEALS,LOCAL TRANSPORT,F/ ONSHORE WORK","EXPENSE:ACCOMMODATION,MEALS,LOCAL TRANSPORT,F/ ONSHORE WORK",,,,,325,325,0,0.00%,325,325,,,,,,1,,,,FCA,,,80000000,,,20210201,20220131,1,,,,,,,,,,,4.41E+11,#REF!,#REF!,#REF!,1
Change,POA1,,,Service,EA,P:3RD PARTY CHARGES,"SERVICE,THIRD PARTY:CHARGE",3RD PARTY CHARGES,,,,,0,0,0,0.00%,0,0,,,,,,1,,,,FCA,,,73152103,,,20190531,20220131,1,,,,,,,,,,,4.41E+11,#REF!,#REF!,#REF!,1
Change,POA2,,,Service,EA,P:EXPENSES,EXPENSE,EXPENSES,,,,,0,0,0,0.00%,0,0,,,,,,1,,,,FCA,,,73152103,,,20190531,20220131,1,,,,,,,,,,,4.41E+11,#REF!,#REF!,#REF!,1
Inactive,49,,,Service,EA,R:INSIGHT ENABLEMENT FEE,EXPENSE:INSIGHT ENABLEMENT FEE,INSIGHT ENABLEMENT FEE,,,,,0,0,0,0.00%,0,0,,,,,,1,1,75000,,FCA,,,23150000,,,20190531,20210131,1,,,,,,,,,,,4.41E+11,#REF!,#REF!,#REF!,1
Change,67,,,Service,MON,"REMOTE MONITORING & DIAGNOSIS, PER UNIT","SERVICE,OIL GAS WELL MONITORING:REMOTE MONITORING AND DIAGNOSIS,PER UNIT","REMOTE MONITORING & DIAGNOSIS, PER UNIT",,,,,3277,3277,0,0.00%,3277,3277,,,,,,1,,,,FCA,,,81000000,,,20210201,20220131,1,,,,,,,,,,,4.41E+11,#REF!,#REF!,#REF!,1
Inactive,68,,,Service,MON,ADDITIONAL UNIT ENABLEMENT FEE,EXPENSE:ADDITIONAL UNIT ENABLEMENT FEE,ADDITIONAL UNIT ENABLEMENT FEE,,,,,0,0,0,0.00%,20257,20257,,,,,,1,,,,FCA,,,81000000,,,20190531,20210131,1,,,,,,,,,,,4.41E+11,#REF!,#REF!,#REF!,1
