,Material/Service No.,PO Item Description,Manufacturer Name,Manufacturer Part No.,Increase percentage,From Pricebook
369,11163204,"VLV:TEMPERATURE REGULATING,4IN,120 DEG F",SOLAR TURBINES,120337-25,3.0,YES
152,10008038,"BOLT,MACHINE:HEX HD,1/2IN DIA,13 UNC,1-3",SOLAR TURBINES,173101-2,14.0,YES
327,11042217,"VALVE,CHK:3/8IN,2PSIG",SOLAR TURBINES,1030794-12,2.0,YES
635,36500879021,"VLV,BALL:ASSY,PNEU",SOLAR TURBINES,1062883-3T021,4.0,YES
250,11046758,"HOSE,ASSY:DISCHARGE,FLEXIBLE LOOP,3/4IN",SOLAR TURBINES,961017C1,3.0,YES
423,11037188,"NUT,LOCK:HEX,1/2IN,13 UNC-3B,SS,410,POLY",SOLAR TURBINES,903112C1,285.0,YES
95,36500271167,"PLUG,SPARK:23.8MM DIA,MATERIAL: CARBON S",SOLAR TURBINES,903316C1,16.0,YES
67,36024216,"FLTR,ELMNT:DISPOS,AIR",SOLAR TURBINES,1106630-50,43.0,YES
684,11133267,RING:FILTER COVER,SOLAR TURBINES,1056369-11,1.0,YES
745,11514901,"CHARGER,BATTERY:230VAC 40A INPUT,120VDC",SOLAR TURBINES,1060367-74941,3.0,YES
482,36024315,"BATTRY,DRY CELL:LITHIUM,3.6V",SOLAR TURBINES,1046415-43,4.0,YES
751,11047223,TOOL:REPLACEMENT FITTING,SOLAR TURBINES,FT67073-100,3.0,YES
357,11028002,"KIT:MAINTENANCE,MECHANICAL DRIVE MARS 10",SOLAR TURBINES,1090886-1601,15.0,YES
650,36023893,"KIT:SRVC,SHEAR COUPLING",SOLAR TURBINES,176048-100,0.0,YES
644,11178035,"MODULE,PWR SPLY:AC/DC,100 TO 240V 50 TO",SOLAR TURBINES,1097483-103,1.0,YES
853,11042190,"HORN:EX-PRF,RED COLOR/W/ HARDWARE",SOLAR TURBINES,1060152,0.0,YES
780,36024285,ADAPTER:HUB ALIGNMENT,SOLAR TURBINES,FT42020,31.0,YES
871,36500895916,"CBL:IGNITION,84IN LG",SOLAR TURBINES,120710-1,9.0,YES
524,36500615239,"SWTCH,PRESSURE/VACUUM:DIFF,0 TO 45IN WC",SOLAR TURBINES,1036679-10,1.0,YES
784,11028056,"MODULE,PLC:FLEX,ANALOG INPUT,8 CHANNEL I",SOLAR TURBINES,108924031,17.0,YES
854,36024305,"LIGHT FIXTURE:STROBE,24VDC,RED",SOLAR TURBINES,1060151,0.0,YES
840,36024001,"HOSE:1-1/2IN ID ID,PTFE",SOLAR TURBINES,1801265,4.0,YES
302,11025443,"O-RNG:2-225,1-7/8IN ID,1/8IN,1.859IN ID",SOLAR TURBINES,903732C1,14.0,YES
451,11096449,"TAPE:DROP WARP,25FT LG",SOLAR TURBINES,1102785,9.0,YES
760,11059764,"BOARD,PC:CNTRL",SOLAR TURBINES,1060367-4,1.0,YES
504,10064965,"BATTRY,DRY CELL:LITHIUM,3V",SOLAR TURBINES,1046415-60,6.0,YES
876,11042200,"LAMP,LED:WHITE,28VDC",SOLAR TURBINES,1017509,2.0,YES
827,36024137,"VALVE,CHECK:",SOLAR TURBINES,120587-2,2.0,YES
586,11028777,"SHIM:COLD FOOT,0.01IN THK,SS",SOLAR TURBINES,142156-106,13.0,YES
802,11154407,CONNECTOR:QUICK DISCONNECT,SOLAR TURBINES,1020225,15.0,YES
758,36024560,"MODULE:PLC,DISCRETE OUTPUT,8 CHANNEL,24V",SOLAR TURBINES,1089240-4,1.0,YES
678,36024398,"SPACER,SHIM:0.01IN THK",SOLAR TURBINES,142156-224,31.0,YES
