,"BP Material / 
Service Master No.",Supplier Part No. / Reference,BP Long Description,Manufacturer Name,Manufacturer Part Number,BP Short Description,Supplier Description,Incoterms Key,2021 rates,2020 rates,UOM,PO Item Creation Date
1,1,8,"EXPENSE,PER DIEM:TRAINER", , ,"TRAINER,PER DIEM","LABOR,FIELD SERVICE:TRAINER,PER DIEM",FCA,314.0,325.0,EA,2021-08-06
2,2,9,"EXPENSE,TRAVELING:MOBILIZATION/DEMOBILIZATION,TRAINER,WITHIN EUROPE BY AIR", , ,"EXPENSE,TRAVELING:MOB/DEMOB","EXPENSE,TRAINING:TRAINER MOBILIZATION/DEMOBILIZATION,WITHIN EUROPE BY AIR",FCA,2796.0,2655.0,EA,2021-08-06
3,3,10,"EXPENSE,TRAVELING:MOBILIZATION/DEMOBILIZATION,TRAINER,OUTSIDE EUROPE BY AIR", , ,"EXPENSE,TRAVELING:MOB/DEMOB","EXPENSE,TRAVELING:MOBILIZATION/DEMOBILIZATION,TRAINER,OUTSIDE EUROPE BY AIR",FCA,8635.0,8635.0,EA,2021-08-06
4,4,26,"EXPENSE:ACCOMMODATION,MEALS,LOCAL TRANSPORT,F/ ONSHORE WORK", , ,"EXPENSE:ACCOMMODATION,MEALS,LOCAL TRANSP","EXPENSE:ACCOMMODATION,MEALS,LOCAL TRANSPORT,F/ ONSHORE WORK",FCA,325.0,325.0,DAY,2021-08-06
8,8,67,"SERVICE,OIL GAS WELL MONITORING:REMOTE MONITORING AND DIAGNOSIS,PER UNIT", , ,"REMOTE MONITORING & DIAGNOSIS, PER UNIT","REMOTE MONITORING & DIAGNOSIS, PER UNIT",FCA,3277.0,3277.0,MON,2021-08-06
10,10,69,"LABOR,ENGINEERING:PROJECT BTC FLEET MANAGER", , ,PROJECT BTC FLEET MANAGER FEE,PROJECT BTC FLEET MANAGER FEE 100PCT,FCA,43098.0,43098.0,MON,2021-08-06
11,11,70,"LABOR,FIELD SERVICE:SITE TECHNICIAN,EXPATRIATE", , ,EXPAT SITE TECHNICIAN FEE,EXPAT SITE TECHNICIAN FEE 100PCT,FCA,44199.0,44199.0,MON,2021-08-06
12,12,71,"LABOR,FIELD SERVICE:TECHNICIAN,AZERBAIJAN,LOCAL", , ,AZE LOCAL TECHNICIAN FEE,AZE LOCAL TECHNICIAN FEE 100PCT,FCA,39337.0,39337.0,MON,2021-08-06
13,13,72,"LABOR,FIELD SERVICE:TECHNICIAN,GEORGIA,LOCAL", , ,GEO LOCAL TECHNICIAN FEE,GEO LOCAL TECHNICIAN FEE 100PCT,FCA,39337.0,39337.0,MON,2021-08-06
14,14,73,"LABOR,FIELD SERVICE:TRAINEE TECHNICIAN,GEORGIA,LOCAL", , ,LOCAL TRAINEE TECHNICAIN FEE,LOCAL TRAINEE TECHNICAIN FEE 100PCT,FCA,14092.0,14092.0,MON,2021-08-06
15,15,74,"LABOR,FIELD SERVICE:LOCAL FIELD OFFICE COORDINATOR", , ,LOCAL FIELD OFFICE COORDINATOR,LOCAL FIELD OFFICE COORDINATOR 100PCT,FCA,6231.0,6231.0,MON,2021-08-06
16,16,83,"LABOR FIELD SERVICE:SITE TECHNICIAN,EXPAT,OFFSHORE", , ,EXPAT OFFSHORE SITE TECHNICIAN FEE,"LABOR,EXPAT OFFSHORE SITE TECHNICIAN FEE 100PCT",FCA,44199.0,44199.0,MON,2021-08-06
17,17,84,"LABOR,ENGINEERING:PROJECT FLEET MANAGER,OFFSHORE,BASE MANAGEMENT FEE,PER UNIT", , ,PROJECT FLEETMANAGER OFFSHORE BASE MNG,"PROJECT FLEETMANAGER OFFSHORE BASE MANAGEMENT FEE, PER UNIT",FCA,5322.0,5322.0,MON,2021-08-06
18,36500890718,1046488-3T481,"HOSE,ASSEMBLY: 1-1/2IN ID",SOLAR TURBINES,1046488-3T481,"HOSE,ASSY:1-1/2IN ID","HOSE:ASSEMBLY,1-1/2IN ID",FCA,865.7,876.59,EA,2021-08-06
19,11042272,1054082-100,"STOP:DOOR,3 X 3 X 10IN,SS,7.62 X 7.62 X 25.4MM",SOLAR TURBINES,1054082-100,"STOP:DOOR,3 X 3 X 10IN,SS",STOP:DOOR,FCA,17.14,16.77,EA,2021-08-06
20,10184117,1052168-23,"TRANSMITTER,PRESSURE: GAUGE,0 TO 800 PSI",SOLAR TURBINES,1052168-23,"TRANSMITTER,PRES:GA,0 TO 800 PSI","TRANSMITTER,PRESSURE:GAGE,0-800PSI RANGE",FCA,1504.66,1546.45,EA,2021-08-06
